Handle,Title,Body (HTML),Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame,Luxury Oval 3D Wall Mirror with Handcrafted White Ornate Frame,"<div class=""iframe-container"">Upgrade your spaces with premium big size horizontal rectangle canvas wall paintings and abstract faces premium canvas wall paintings. Their smooth surfaces and high-definition finish add a touch of class to living rooms, bedrooms, offices, and hotels. These ready-to-hang pieces create a lasting impact, while strategic lighting enhances their beauty. Experience the allure of these captivating artworks, perfect for enhancing your surroundings.<br><br>Transform your interiors with our big size horizontal rectangle canvas wall paintings. Crafted for quality and durability, these pieces radiate elegance. Place them in any setting, add some well-placed lighting, and watch your space come alive with a fresh and captivating look. Discover the art of transformation through our stunning canvas paintings and elevate your environment effortlessly.<br><br>Experience the artistry of our abstract faces premium canvas wall paintings. These statement pieces, designed for homes and offices, promise lasting beauty and a touch of luxury. Elevate your decor effortlessly and leave a lasting impression with these high-quality products. Immerse yourself in the world of art and sophistication with our horizontal rectangle big size.</div>
<div class=""bot-des"" data-mce-fragment=""1"">
<div class=""pro-info-sec"" data-mce-fragment=""1"">
<div class=""row"" data-mce-fragment=""1"">
<div class=""col-lg-6 col-md-6 col-sm-6"" data-mce-fragment=""1"">
<div class=""main-dis-info"" data-mce-fragment=""1"">
<div class=""inner-dis-info"" data-mce-fragment=""1""><br></div>
</div>
</div>
</div>
</div>
</div>",Wall Mirror,"3D Wall Mirror, New Arrivals Jan 2026",true,Title,Default Title,,,,,WM 211,990.0,25499.0,58999.0,true,false,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame-WM211_4.jpg?v=1768385886,1,,false,,,,,,,,,,,,,,,,,,,,active
luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame-WM211_1.jpg?v=1768385886,2,,,,,,,,,,,,,,,,,,,,,,
luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame-WM211_2.jpg?v=1768385886,3,,,,,,,,,,,,,,,,,,,,,,
luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/luxury-oval-3d-wall-mirror-with-handcrafted-white-ornate-frame-WM211_3.jpg?v=1768385886,4,,,,,,,,,,,,,,,,,,,,,,
modern-geometric-black-and-gold-lines-3d-wall-art-home-decor,Modern Geometric Black and Gold Lines 3D Wall Art Home Decor,,3D Wall Art,3D Wall Art,true,Title,Default Title,,,,,3D2666,0.0,20499.0,42999.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/modern-geometric-black-and-gold-lines-3d-wall-art-home-decor-3D2666_5_0ac81b7a-6501-4ced-87fc-79d13efb4f2b.jpg?v=1779782037,1,,false,,,,,,,,,,,,,,,,,,,,active
modern-geometric-black-and-gold-lines-3d-wall-art-home-decor,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/modern-geometric-black-and-gold-lines-3d-wall-art-home-decor-3D2666_6_0ac81b7a-6501-4ced-87fc-79d13efb4f2b.jpg?v=1779782055,2,,,,,,,,,,,,,,,,,,,,,,
modern-geometric-black-and-gold-lines-3d-wall-art-home-decor,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/modern-geometric-black-and-gold-lines-3d-wall-art-home-decor-3D2666_7_0ac81b7a-6501-4ced-87fc-79d13efb4f2b.jpg?v=1779782071,3,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,Colorful Expressive Faces Floral Theme Painting,"<div class=""iframe-container"" data-mce-fragment=""1"">
<p>Introducing our premium Big Paintings – the epitome of elegance and sophistication for your living room, bedroom, office, hotels, and beyond. These large-size wall artworks boast a smooth, durable surface that's easy to clean, offering a beautiful matte effect with high-definition precision.</p>
<p>Ready to hang, these paintings are meticulously crafted for a stunning visual impact. Illuminate them with strategic lighting to transform your space, and rest assured, they are built to last, embodying quality and durability with a timeless finish.</p>
<p>These Big Paintings are not just wall art; they are captivating storytellers, adding a touch of luxury to your surroundings.</p>
</div>
<div class=""bot-des"" data-mce-fragment=""1"">
<div class=""pro-info-sec"" data-mce-fragment=""1"">
<div class=""row"" data-mce-fragment=""1"">
<div class=""col-lg-6 col-md-6 col-sm-6"" data-mce-fragment=""1"">
<div class=""main-dis-info"" data-mce-fragment=""1"">
<div class=""inner-dis-info"" data-mce-fragment=""1""><br></div>
</div>
</div>
</div>
</div>
</div>",Wall Painting,"colorful, colorful frame painting, Colorful large size painting, colorful painting, Colorful Paintings, Colorful Wall Painting, hindu religious, Home Décor, Horizontal Rectangle Big Size, Large Size Paintings, New Arrivals Dec 2025, wall painting",true,Frame Type,Ready To Hang (Fitted With Wood Frame),,,,,PTVCH_3277_F,990.0,2699.0,6499.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_1.jpg?v=1766569543,1,,false,,,,,,,,,,,,,,,,,,,,active
colorful-expressive-faces-floral-theme-painting,,,,,,,Painting with Floating Frame,,,,,PTVCH_3277_Gold,990.0,3599.0,8199.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_2.jpg?v=1766569543,2,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_3.jpg?v=1766569544,3,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_4.jpg?v=1766569543,4,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_5.jpg?v=1766569544,5,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_6.jpg?v=1766569543,6,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_7.jpg?v=1766569544,7,,,,,,,,,,,,,,,,,,,,,,
colorful-expressive-faces-floral-theme-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/colorful-expressive-faces-floral-theme-painting-PTVCH_3277_8.jpg?v=1766569544,8,,,,,,,,,,,,,,,,,,,,,,
flowers-hexagon-painting-set-of-4-pieces,Flowers Hexagon Painting sets of 4,"<div class=""iframe-container"" data-mce-fragment=""1"">
<p>Welcome nature's beauty into your home with our exquisite flower wall paintings. Crafted with precision, each artwork masterfully captures the delicate charm of real flowers. The result is not just a visual treat but an emotional experience, infusing your space with a soothing sense of calm and unbridled joy.</p>
<p>Flexible and built to last, these flower wall paintings effortlessly complement any decor style, whether you lean toward contemporary, rustic, or traditional design. Their enduring vibrancy ensures they remain a Beloved part of your space for years to come.</p>
<p>Enhance your living environment with the timeless elegance of our flower wall paintings. Embrace the serenity and vibrancy they offer and create an ambiance that resonates with the beauty of nature. Elevate your home today, where every brushstroke is an ode to the charm of blossoms.</p>
</div>
<div class=""bot-des"" data-mce-fragment=""1"">
<div class=""pro-info-sec"" data-mce-fragment=""1"">
<div class=""row"" data-mce-fragment=""1"">
<div class=""col-lg-6 col-md-6 col-sm-6"" data-mce-fragment=""1"">
<div class=""main-dis-info"" data-mce-fragment=""1"">
<div class=""inner-dis-info"" data-mce-fragment=""1""></div>
</div>
</div>
</div>
</div>
</div>",Wall Painting,"4 Pieces Paintings, Flower Painting, Hall Room, Hexagon, Hexagon Paintings, Home D√©cor, wall painting",true,Title,Default Title,,,,,HPVC4Pcs1_26805,990.0,1429.0,2999.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/HPVC4Pcs1_26805_3_cf2ebaf5-769c-4890-acbd-769e0fb83282.jpg?v=1724944807,1,,false,,,,,,,,,,,,,,,,,,,,active
flowers-hexagon-painting-set-of-4-pieces,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/HPVC4Pcs1_26805_4_504ea521-fce3-421b-9ce4-67b9b9c21b73.jpg?v=1724944807,2,,,,,,,,,,,,,,,,,,,,,,
flowers-hexagon-painting-set-of-4-pieces,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/HPVC4Pcs1_26805_2_2759b05c-9d00-4790-afc4-7468844f01de.jpg?v=1724944807,3,,,,,,,,,,,,,,,,,,,,,,
flowers-hexagon-painting-set-of-4-pieces,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/HPVC4Pcs1_26805_1_7bb089c3-b8ab-4512-865e-f64e5861406c.jpg?v=1724944807,4,,,,,,,,,,,,,,,,,,,,,,
flowers-hexagon-painting-set-of-4-pieces,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/Measurement_b631b8c8-30f9-474a-a8d1-51b3143244b1.jpg?v=1724944807,5,,,,,,,,,,,,,,,,,,,,,,
beautiful-floral-madhubani-art-wall-painting-set-of-five,Beautiful Floral Madhubani Art Wall Painting Set of Five,"<div class=""iframe-container"" data-mce-fragment=""1"">
<p>Elevate Your Space with Premium Elegance: Discover Our Exquisite Collection of Premium Canvas Paintings. Designed to Perfection, these High-Quality Masterpieces are an Ideal Fit for Living Rooms, Bedrooms, Offices, and Hotels, adding a Touch of Sophistication to Every Setting.</p>
<p>Crafted with Care, the Smooth Surface of our Premium Paintings brings a Perfect Blend of Durability and Style. The Effortlessly Maintained and Easy-to-Clean Features ensure Lasting Beauty, while the Matte Finish Bestows a Subtle Opulence that Captivates the Eye.</p>
<p>Arriving Ready to Hang, these Premium Canvas Paintings combine Artistry and Convenience. Let the Play of Light Enhance the Ambiance, Infusing the Room with a Unique Vibe. This Skillfully Crafted Collection is an Artful Expression of Quality, Durability, and Timeless Charm, promising to Elevate Your Space for Years to Come. Experience the Beauty of Premium Paintings today.</p>
</div>
<div class=""bot-des"" data-mce-fragment=""1"">
<div class=""pro-info-sec"" data-mce-fragment=""1"">
<div class=""row"" data-mce-fragment=""1"">
<div class=""col-lg-6 col-md-6 col-sm-6"" data-mce-fragment=""1"">
<div class=""main-dis-info"" data-mce-fragment=""1"">
<div class=""inner-dis-info"" data-mce-fragment=""1""></div>
</div>
</div>
</div>
</div>
</div>",Wall Painting,"5 Pieces Paintings, floral, floral art, flower, Home D√©cor, Madhubani, Madhubani Art painting, Premium Paintings, wall painting",true,Title,Default Title,,,,,PTVC5Pcs4_8572,990.0,1959.0,3499.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five_PTVC5Pcs4_8572_03.jpg?v=1724982522,1,,false,,,,,,,,,,,,,,,,,,,,active
beautiful-floral-madhubani-art-wall-painting-set-of-five,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five_PTVC5Pcs4_8572_02.jpg?v=1724982522,2,,,,,,,,,,,,,,,,,,,,,,
beautiful-floral-madhubani-art-wall-painting-set-of-five,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five_PTVC5Pcs4_8572_01.jpg?v=1724982522,3,,,,,,,,,,,,,,,,,,,,,,
beautiful-floral-madhubani-art-wall-painting-set-of-five,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five-PTVC5Pcs4_8572_4.jpg?v=1724982522,4,,,,,,,,,,,,,,,,,,,,,,
beautiful-floral-madhubani-art-wall-painting-set-of-five,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five-PTVC5Pcs4_8572_6.jpg?v=1724982523,5,,,,,,,,,,,,,,,,,,,,,,
beautiful-floral-madhubani-art-wall-painting-set-of-five,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/beautiful-floral-madhubani-art-wall-painting-set-of-five-PTVC5Pcs4_8572_5.jpg?v=1724982523,6,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,Masculine Royal Black Horse with Flowing Golden Mane Canvas Wall Painting,"<div class=""iframe-container"">
<p>Introducing our premium Big Paintings ‚Äì the epitome of elegance and sophistication for your living room, bedroom, office, hotels, and beyond. These large-size wall artworks boast a smooth, durable surface that's easy to clean, offering a beautiful matte effect with high-definition precision.</p>
<p>Ready to hang, these paintings are meticulously crafted for a stunning visual impact. Illuminate them with strategic lighting to transform your space, and rest assured, they are built to last, embodying quality and durability with a timeless finish.</p>
<p>These Big Paintings are not just wall art; they are captivating storytellers, adding a touch of luxury to your surroundings.</p>
</div>
<div class=""bot-des"" data-mce-fragment=""1"">
<div class=""pro-info-sec"" data-mce-fragment=""1"">
<div class=""row"" data-mce-fragment=""1"">
<div class=""col-lg-6 col-md-6 col-sm-6"" data-mce-fragment=""1"">
<div class=""main-dis-info"" data-mce-fragment=""1"">
<div class=""inner-dis-info"" data-mce-fragment=""1""><br></div>
</div>
</div>
</div>
</div>
</div>",Wall Painting,"Abstract Horizontal Painting, Abstract Painting, Abstract Wall Frame Painting, abstract wall painting, Canvas Painting, Floating Wall Paintings, Horizontal Rectangle Big Size, Horizontal Rectangle Painting, New Arrival Abstract Mar 24x48, New Arrival Mar 24x48, New Arrivals Abstract Mar 2026, Premium Paintings",true,Frame Type,Ready To Hang (Fitted With Wood Frame),,,,,PTVCH_4335_F,990.0,2699.0,6599.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_1.webp?v=1777295878,1,,false,,,,,,,,,,,,,,,,,,,,active
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,Painting with Floating Frame,,,,,PTVCH_4335_Gold,990.0,3599.0,9199.0,true,true,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_2.webp?v=1777295878,2,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_3.webp?v=1777295878,3,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_4.webp?v=1777295878,4,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_5.webp?v=1777295878,5,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_6.webp?v=1777295878,6,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_7.webp?v=1777295878,7,,,,,,,,,,,,,,,,,,,,,,
masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0500/0711/3892/files/masculine-royal-black-horse-with-flowing-golden-mane-canvas-wall-painting-PTVCH_4335_8.webp?v=1777295879,8,,,,,,,,,,,,,,,,,,,,,,
